Station,Latitude_in_deg_final,Longitude_in_deg_final,UTM_easting_in_meters_final,UTM_northing_in_meters_final,Height_above_WGS84_ellipsoid_in_meters_final,Height_above_unkown_geoid_in_meters_final,Start_Date,Start_Time,Stop_Date,Stop_Time,Orientation_from_true_North,Notes
N169,39.80080138,-119.01034160,327893.798,4407581.671,1226.355,1250.788,2016-03-08,18:12:29.174,2016-03-27,00:48:00.172,355,
N170,39.80127659,-119.00992720,327930.463,4407633.622,1227.561,1251.992,2016-03-08,17:49:13.246,2016-03-27,00:46:14.244,007,
N171,39.80168010,-119.00940560,327976.126,4407677.408,1228.587,1253.017,2016-03-08,17:38:39.624,2016-03-28,16:41:10.624,352,
N172,39.80228528,-119.00889630,328021.239,4407743.603,1229.964,1254.392,2016-03-08,17:28:19.514,2016-03-27,00:46:50.507,000,
N173,39.80285053,-119.00855950,328051.482,4407805.698,1231.200,1255.627,2016-03-08,19:03:25.656,2016-03-27,00:37:56.654,355,
N174,39.80316297,-119.00821850,328081.455,4407839.723,1232.195,1256.621,2016-03-08,19:09:27.630,2016-03-27,00:48:28.628,350,
N175,39.80373601,-119.00768950,328128.173,4407902.313,1233.627,1258.052,2016-03-08,19:17:23.528,2016-03-27,00:46:24.526,003,
N176,39.80411288,-119.00722370,328168.990,4407943.251,1234.588,1259.012,2016-03-08,19:26:21.344,2016-03-27,00:32:22.342,351,
N177,39.80469785,-119.00675790,328210.325,4408007.287,1235.604,1260.026,2016-03-08,21:05:14.142,2016-03-27,00:46:15.140,353,
N178,39.80513818,-119.00624170,328255.614,4408055.172,1236.902,1261.323,2016-03-08,21:11:39.412,2016-03-27,00:46:10.410,358,
N179,39.80552678,-119.00588360,328287.238,4408097.619,1237.733,1262.153,2016-03-08,21:19:33.180,2016-03-27,00:37:04.178,343,
